No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
185,image_185.jpeg,1204,922,1.49,1.31,manifest,1,,bitmap,True,True,54.3,Standard landscape,812x544,328x600
186,image_186.jpeg,1269,971,1.40,1.31,manifest,1,,bitmap,True,True,65.4,Standard landscape,842x600,298x600
187,image_187.jpeg,1269,971,1.15,1.31,manifest,1,,bitmap,True,True,101.2,Near square,689x600,451x600
188,image_188.jpeg,693,606,1.14,1.14,manifest,1,,bitmap,True,True,35.1,Near square,686x600,454x600
189,image_189.jpeg,693,606,1.14,1.14,manifest,1,,bitmap,True,True,38.1,Near square,686x600,454x600
190,image_190.jpeg,693,554,1.25,1.25,manifest,1,,bitmap,True,True,30.6,Standard landscape,750x600,390x600
191,image_191.wmf,133,45,2.97,3.00,manifest,1,,office_vector,False,True,1.5,Ultra-wide,1160x390,1160x190
192,image_192.wmf,180,95,1.90,1.86,manifest,1,,office_vector,False,True,3.5,Wide landscape,812x428,328x600
193,image_193.wmf,262,24,11.08,10.89,manifest,1,,office_vector,False,True,1.2,Ultra-wide,1160x105,1160x475
194,image_194.jpeg,1213,970,1.25,1.25,manifest,1,,bitmap,True,True,74.7,Standard landscape,750x600,390x600
195,image_195.jpeg,1213,970,1.25,1.25,manifest,1,,bitmap,True,True,71.9,Standard landscape,750x600,390x600
196,image_196.jpeg,865,823,1.05,1.05,manifest,1,,bitmap,True,True,119.9,Near square,630x600,510x600
197,image_197.jpeg,874,832,1.09,1.05,manifest,1,,bitmap,True,True,32.5,Near square,656x600,484x600
198,image_198.png,1198,928,1.29,1.29,manifest,1,,bitmap,True,True,440.3,Standard landscape,775x600,365x600
199,image_199.wmf,429,56,7.67,7.64,manifest,1,,office_vector,False,True,1.7,Ultra-wide,1160x151,1160x429
200,image_200.wmf,145,29,5.03,4.72,manifest,1,,office_vector,False,True,0.7,Ultra-wide,1160x231,1160x349
201,image_201.wmf,87,29,3.03,3.75,manifest,1,,office_vector,False,True,0.6,Ultra-wide,1160x383,1160x197
202,image_202.wmf,163,49,3.34,3.48,manifest,1,,office_vector,False,True,0.9,Ultra-wide,1160x347,1160x233
203,image_203.wmf,96,29,3.33,3.59,manifest,1,,office_vector,False,True,0.7,Ultra-wide,1160x348,1160x232
204,image_204.wmf,145,29,5.03,4.88,manifest,1,,office_vector,False,True,0.7,Ultra-wide,1160x231,1160x349
205,image_205.wmf,105,29,3.64,3.33,manifest,1,,office_vector,False,True,1.0,Ultra-wide,1160x319,1160x261
206,image_206.wmf,18,39,0.45,0.63,manifest,1,,office_vector,False,True,0.5,Portrait,269x600,871x600
207,image_207.png,488,464,1.05,1.05,manifest,1,,bitmap,True,True,94.2,Near square,627x600,513x600
208,image_208.png,1039,738,1.41,1.41,manifest,1,,bitmap,True,True,374.4,Standard landscape,845x600,295x600
209,image_209.jpeg,1269,897,1.41,1.41,manifest,1,,bitmap,True,True,164.7,Standard landscape,849x600,291x600
210,image_210.png,758,419,1.81,1.81,manifest,1,,bitmap,True,True,13.1,Wide landscape,812x449,328x600
211,image_211.png,781,477,1.64,1.64,manifest,1,,bitmap,True,True,23.2,Wide landscape,812x496,328x600
212,image_212.png,1039,738,1.41,1.41,manifest,1,,bitmap,True,True,395.7,Standard landscape,845x600,295x600
213,image_213.png,1039,738,1.41,1.41,manifest,1,,bitmap,True,True,148.1,Standard landscape,845x600,295x600
214,image_214.png,1039,738,1.41,1.41,manifest,1,,bitmap,True,True,147.4,Standard landscape,845x600,295x600
215,image_215.png,1039,765,1.41,1.36,manifest,1,,bitmap,True,True,130.5,Standard landscape,846x600,294x600
216,image_216.png,709,608,1.17,1.17,manifest,1,,bitmap,True,True,409.3,Near square,701x600,439x600
217,image_217.png,769,615,1.25,1.25,manifest,1,,bitmap,True,True,103.2,Standard landscape,749x600,391x600
218,image_218.png,757,622,1.22,1.22,manifest,1,,bitmap,True,True,832.5,Standard landscape,730x600,410x600
219,image_219.png,917,615,1.49,1.49,manifest,1,,bitmap,True,True,117.7,Standard landscape,812x546,328x600
220,image_220.png,664,654,1.02,1.02,manifest,1,,bitmap,True,True,732.5,Near square,609x600,531x600
221,image_221.png,820,551,1.49,1.49,manifest,1,,bitmap,True,True,94.1,Standard landscape,812x546,328x600
222,image_222.png,879,587,1.50,1.50,manifest,1,,bitmap,True,True,979.9,Standard landscape,812x542,328x600
223,image_223.png,821,238,3.45,3.45,manifest,1,,bitmap,True,True,33.0,Ultra-wide,1160x336,1160x244
224,image_224.png,931,601,1.55,1.55,manifest,1,,bitmap,True,True,792.1,Wide landscape,812x524,328x600
225,image_225.jpeg,1191,842,1.42,1.41,manifest,1,,bitmap,True,True,200.1,Standard landscape,849x600,291x600
226,image_226.jpeg,615,820,0.75,0.75,manifest,1,,bitmap,True,True,202.7,Portrait,450x600,690x600
227,image_227.jpeg,614,819,0.75,0.75,manifest,1,,bitmap,True,True,170.4,Portrait,450x600,690x600
